Dates,Ventura County
1/31/2000,263982
2/29/2000,264935
3/31/2000,266212
4/30/2000,268567
5/31/2000,270953
6/30/2000,273399
7/31/2000,276565
8/31/2000,279834
9/30/2000,283089
10/31/2000,286074
11/30/2000,289749
12/31/2000,293172
1/31/2001,296078
2/28/2001,298284
3/31/2001,300883
4/30/2001,303362
5/31/2001,305760
6/30/2001,308119
7/31/2001,310307
8/31/2001,312249
9/30/2001,314074
10/31/2001,316374
11/30/2001,319376
12/31/2001,322393
1/31/2002,325241
2/28/2002,327968
3/31/2002,330577
4/30/2002,333618
5/31/2002,336932
6/30/2002,340791
7/31/2002,346248
8/31/2002,351907
9/30/2002,358877
10/31/2002,364270
11/30/2002,370620
12/31/2002,376347
1/31/2003,381781
2/28/2003,387029
3/31/2003,392812
4/30/2003,400380
5/31/2003,407860
6/30/2003,413817
7/31/2003,417975
8/31/2003,422841
9/30/2003,428928
10/31/2003,436287
11/30/2003,444748
12/31/2003,453209
1/31/2004,462216
2/29/2004,467955
3/31/2004,474078
4/30/2004,482657
5/31/2004,495883
6/30/2004,509796
7/31/2004,523013
8/31/2004,532169
9/30/2004,541719
10/31/2004,548345
11/30/2004,555870
12/31/2004,563873
1/31/2005,572570
2/28/2005,580307
3/31/2005,586958
4/30/2005,594723
5/31/2005,603804
6/30/2005,609045
7/31/2005,613572
8/31/2005,619142
9/30/2005,628501
10/31/2005,637791
11/30/2005,644587
12/31/2005,649147
1/31/2006,650608
2/28/2006,651744
3/31/2006,656880
4/30/2006,665060
5/31/2006,671635
6/30/2006,673737
7/31/2006,673284
8/31/2006,671568
9/30/2006,666700
10/31/2006,661464
11/30/2006,654568
12/31/2006,648828
1/31/2007,643732
2/28/2007,640470
3/31/2007,638778
4/30/2007,635528
5/31/2007,630893
6/30/2007,625330
7/31/2007,616117
8/31/2007,609810
9/30/2007,597851
10/31/2007,591311
11/30/2007,581250
12/31/2007,569635
1/31/2008,556913
2/29/2008,548670
3/31/2008,540884
4/30/2008,529367
5/31/2008,514075
6/30/2008,503391
7/31/2008,494327
8/31/2008,484575
9/30/2008,478022
10/31/2008,470513
11/30/2008,463470
12/31/2008,456505
1/31/2009,451441
2/28/2009,446766
3/31/2009,440174
4/30/2009,436484
5/31/2009,434410
6/30/2009,435288
7/31/2009,434927
8/31/2009,435037
9/30/2009,430961
10/31/2009,426137
11/30/2009,424800
12/31/2009,426964
1/31/2010,431847
2/28/2010,434198
3/31/2010,439033
4/30/2010,440617
5/31/2010,441234
6/30/2010,437371
7/31/2010,435066
8/31/2010,434577
9/30/2010,435359
10/31/2010,435854
11/30/2010,435434
12/31/2010,432854
1/31/2011,428127
2/28/2011,424853
3/31/2011,420930
4/30/2011,419233
5/31/2011,416056
6/30/2011,415674
7/31/2011,414937
8/31/2011,411525
9/30/2011,407822
10/31/2011,403243
11/30/2011,401053
12/31/2011,397655
1/31/2012,394033
2/29/2012,389546
3/31/2012,388231
4/30/2012,388085
5/31/2012,388990
6/30/2012,389092
7/31/2012,388453
8/31/2012,389303
9/30/2012,390349
10/31/2012,394812
11/30/2012,400244
12/31/2012,406954
1/31/2013,413079
2/28/2013,422097
3/31/2013,429041
4/30/2013,436339
5/31/2013,442467
6/30/2013,452341
7/31/2013,464219
8/31/2013,471635
9/30/2013,477518
10/31/2013,482943
11/30/2013,488437
12/31/2013,496033
1/31/2014,501582
2/28/2014,507887
3/31/2014,510771
4/30/2014,511617
5/31/2014,511705
6/30/2014,511734
7/31/2014,509708
8/31/2014,506973
9/30/2014,503949
10/31/2014,504910
11/30/2014,508250
12/31/2014,511261
1/31/2015,513690
2/28/2015,515977
3/31/2015,516381
4/30/2015,517205
5/31/2015,518430
6/30/2015,521006
7/31/2015,522025
8/31/2015,523613
9/30/2015,525586
10/31/2015,529372
11/30/2015,534413
12/31/2015,537886
1/31/2016,539941
2/29/2016,539439
3/31/2016,542443
4/30/2016,545253
5/31/2016,547542
6/30/2016,548934
7/31/2016,551524
8/31/2016,554672
9/30/2016,557728
10/31/2016,561138
11/30/2016,563436
12/31/2016,564285
1/31/2017,566696
2/28/2017,571563
3/31/2017,574570
4/30/2017,577373
5/31/2017,579192
6/30/2017,582929
7/31/2017,582625
8/31/2017,581975
9/30/2017,581772
10/31/2017,584599
11/30/2017,587237
12/31/2017,591462
1/31/2018,597046
2/28/2018,601956
3/31/2018,605833
4/30/2018,603665
5/31/2018,603901
6/30/2018,605204
7/31/2018,608182
8/31/2018,611719
9/30/2018,614025
10/31/2018,616129
11/30/2018,615893
12/31/2018,615260
1/31/2019,615249
2/28/2019,615023
3/31/2019,615177
4/30/2019,616551
5/31/2019,617267
6/30/2019,615833
7/31/2019,614065
8/31/2019,614027
9/30/2019,615996
10/31/2019,618670
11/30/2019,619374
12/31/2019,622459
1/31/2020,625153
2/29/2020,626095
3/31/2020,625357
4/30/2020,624790
5/31/2020,626595
6/30/2020,627038
7/31/2020,630223
8/31/2020,634740
9/30/2020,645145
10/31/2020,652806
11/30/2020,659984
12/31/2020,664960
1/31/2021,673202
2/28/2021,679893
3/31/2021,688709
4/30/2021,697327
5/31/2021,717850
6/30/2021,739263
7/31/2021,761339
8/31/2021,778107
9/30/2021,789415
10/31/2021,794629
11/30/2021,798798
12/31/2021,805098
1/31/2022,817316
2/28/2022,835144
3/31/2022,854017
4/30/2022,872283
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
