Dates,Imperial County
1/31/2000,
2/29/2000,
3/31/2000,
4/30/2000,
5/31/2000,
6/30/2000,
7/31/2000,
8/31/2000,
9/30/2000,
10/31/2000,
11/30/2000,
12/31/2000,
1/31/2001,89181
2/28/2001,89352
3/31/2001,89709
4/30/2001,90411
5/31/2001,91161
6/30/2001,91822
7/31/2001,92477
8/31/2001,93242
9/30/2001,93987
10/31/2001,94530
11/30/2001,95283
12/31/2001,95821
1/31/2002,96549
2/28/2002,97212
3/31/2002,98047
4/30/2002,98703
5/31/2002,99245
6/30/2002,98934
7/31/2002,98916
8/31/2002,98870
9/30/2002,99673
10/31/2002,100201
11/30/2002,100620
12/31/2002,101011
1/31/2003,101325
2/28/2003,101759
3/31/2003,102183
4/30/2003,102935
5/31/2003,103509
6/30/2003,104350
7/31/2003,105207
8/31/2003,106262
9/30/2003,108137
10/31/2003,109677
11/30/2003,111308
12/31/2003,111951
1/31/2004,112917
2/29/2004,114042
3/31/2004,115299
4/30/2004,116653
5/31/2004,118171
6/30/2004,120089
7/31/2004,122265
8/31/2004,124318
9/30/2004,126240
10/31/2004,128962
11/30/2004,132152
12/31/2004,135594
1/31/2005,138349
2/28/2005,140763
3/31/2005,143643
4/30/2005,146338
5/31/2005,150359
6/30/2005,154552
7/31/2005,160167
8/31/2005,164164
9/30/2005,168584
10/31/2005,171985
11/30/2005,175226
12/31/2005,178555
1/31/2006,182154
2/28/2006,186552
3/31/2006,190028
4/30/2006,191369
5/31/2006,192404
6/30/2006,192699
7/31/2006,194186
8/31/2006,194788
9/30/2006,195340
10/31/2006,195299
11/30/2006,195230
12/31/2006,193802
1/31/2007,191998
2/28/2007,190170
3/31/2007,189658
4/30/2007,189274
5/31/2007,189081
6/30/2007,187384
7/31/2007,184923
8/31/2007,182581
9/30/2007,180913
10/31/2007,180198
11/30/2007,178527
12/31/2007,176696
1/31/2008,175404
2/29/2008,173874
3/31/2008,171641
4/30/2008,168205
5/31/2008,161770
6/30/2008,155873
7/31/2008,149582
8/31/2008,146761
9/30/2008,143915
10/31/2008,141770
11/30/2008,139461
12/31/2008,137562
1/31/2009,135693
2/28/2009,134101
3/31/2009,132486
4/30/2009,130567
5/31/2009,128796
6/30/2009,127459
7/31/2009,126765
8/31/2009,126269
9/30/2009,125650
10/31/2009,125186
11/30/2009,125156
12/31/2009,125255
1/31/2010,125367
2/28/2010,125178
3/31/2010,124813
4/30/2010,124780
5/31/2010,124489
6/30/2010,124372
7/31/2010,123716
8/31/2010,123274
9/30/2010,122745
10/31/2010,122309
11/30/2010,121530
12/31/2010,120795
1/31/2011,120060
2/28/2011,119474
3/31/2011,118581
4/30/2011,117958
5/31/2011,117279
6/30/2011,116846
7/31/2011,116278
8/31/2011,116173
9/30/2011,116041
10/31/2011,115903
11/30/2011,115549
12/31/2011,116671
1/31/2012,
2/29/2012,
3/31/2012,126496
4/30/2012,126259
5/31/2012,126347
6/30/2012,126485
7/31/2012,126939
8/31/2012,128212
9/30/2012,128534
10/31/2012,129019
11/30/2012,129578
12/31/2012,130018
1/31/2013,129223
2/28/2013,127805
3/31/2013,127923
4/30/2013,129619
5/31/2013,131246
6/30/2013,130998
7/31/2013,132429
8/31/2013,135162
9/30/2013,138138
10/31/2013,140947
11/30/2013,142654
12/31/2013,144397
1/31/2014,145495
2/28/2014,146852
3/31/2014,147386
4/30/2014,147478
5/31/2014,149050
6/30/2014,153156
7/31/2014,156097
8/31/2014,157785
9/30/2014,159202
10/31/2014,161967
11/30/2014,165156
12/31/2014,167953
1/31/2015,171725
2/28/2015,174895
3/31/2015,177743
4/30/2015,178941
5/31/2015,179785
6/30/2015,181016
7/31/2015,181505
8/31/2015,179328
9/30/2015,176521
10/31/2015,174053
11/30/2015,174391
12/31/2015,175369
1/31/2016,177065
2/29/2016,180550
3/31/2016,183219
4/30/2016,186503
5/31/2016,187517
6/30/2016,188948
7/31/2016,188321
8/31/2016,188220
9/30/2016,187745
10/31/2016,188563
11/30/2016,190589
12/31/2016,191699
1/31/2017,192149
2/28/2017,191681
3/31/2017,193189
4/30/2017,194997
5/31/2017,197700
6/30/2017,198250
7/31/2017,196543
8/31/2017,194141
9/30/2017,193920
10/31/2017,195851
11/30/2017,197112
12/31/2017,199384
1/31/2018,200918
2/28/2018,202153
3/31/2018,201466
4/30/2018,203369
5/31/2018,205971
6/30/2018,208576
7/31/2018,208874
8/31/2018,210192
9/30/2018,211692
10/31/2018,214091
11/30/2018,215624
12/31/2018,216220
1/31/2019,215786
2/28/2019,215006
3/31/2019,214959
4/30/2019,216264
5/31/2019,217372
6/30/2019,218718
7/31/2019,219413
8/31/2019,219377
9/30/2019,217671
10/31/2019,217098
11/30/2019,217549
12/31/2019,219900
1/31/2020,221217
2/29/2020,222577
3/31/2020,223507
4/30/2020,223040
5/31/2020,222423
6/30/2020,223065
7/31/2020,226254
8/31/2020,231531
9/30/2020,237385
10/31/2020,242292
11/30/2020,246084
12/31/2020,247518
1/31/2021,248802
2/28/2021,251427
3/31/2021,258249
4/30/2021,268785
5/31/2021,277992
6/30/2021,284443
7/31/2021,288853
8/31/2021,291990
9/30/2021,296450
10/31/2021,299427
11/30/2021,302894
12/31/2021,305976
1/31/2022,308361
2/28/2022,313875
3/31/2022,316996
4/30/2022,321441
