Dates,Merced County
1/31/2000,
2/29/2000,
3/31/2000,
4/30/2000,
5/31/2000,
6/30/2000,
7/31/2000,
8/31/2000,
9/30/2000,
10/31/2000,
11/30/2000,
12/31/2000,
1/31/2001,141452
2/28/2001,142295
3/31/2001,143417
4/30/2001,145467
5/31/2001,146467
6/30/2001,147374
7/31/2001,148328
8/31/2001,151017
9/30/2001,153647
10/31/2001,156298
11/30/2001,158088
12/31/2001,159905
1/31/2002,161537
2/28/2002,163319
3/31/2002,165439
4/30/2002,167514
5/31/2002,169970
6/30/2002,171647
7/31/2002,174120
8/31/2002,176098
9/30/2002,178676
10/31/2002,180972
11/30/2002,183187
12/31/2002,185311
1/31/2003,187137
2/28/2003,189182
3/31/2003,191375
4/30/2003,193895
5/31/2003,196532
6/30/2003,199124
7/31/2003,201305
8/31/2003,203736
9/30/2003,206048
10/31/2003,208553
11/30/2003,211286
12/31/2003,215056
1/31/2004,217957
2/29/2004,220854
3/31/2004,222913
4/30/2004,226613
5/31/2004,230564
6/30/2004,236275
7/31/2004,
8/31/2004,250684
9/30/2004,255520
10/31/2004,257495
11/30/2004,261505
12/31/2004,265411
1/31/2005,270644
2/28/2005,277257
3/31/2005,285302
4/30/2005,293979
5/31/2005,301582
6/30/2005,310116
7/31/2005,317072
8/31/2005,324602
9/30/2005,332174
10/31/2005,341308
11/30/2005,348403
12/31/2005,355647
1/31/2006,360179
2/28/2006,363404
3/31/2006,364173
4/30/2006,366175
5/31/2006,369672
6/30/2006,370718
7/31/2006,372060
8/31/2006,368992
9/30/2006,363203
10/31/2006,358414
11/30/2006,355156
12/31/2006,354758
1/31/2007,350470
2/28/2007,347782
3/31/2007,345463
4/30/2007,342365
5/31/2007,336364
6/30/2007,327724
7/31/2007,316210
8/31/2007,304742
9/30/2007,297143
10/31/2007,290981
11/30/2007,281550
12/31/2007,272493
1/31/2008,258855
2/29/2008,247975
3/31/2008,233083
4/30/2008,223222
5/31/2008,213219
6/30/2008,203143
7/31/2008,192858
8/31/2008,183064
9/30/2008,174803
10/31/2008,165384
11/30/2008,155755
12/31/2008,146024
1/31/2009,139970
2/28/2009,134523
3/31/2009,127982
4/30/2009,121033
5/31/2009,114897
6/30/2009,113151
7/31/2009,111974
8/31/2009,111754
9/30/2009,110925
10/31/2009,111509
11/30/2009,113255
12/31/2009,114438
1/31/2010,115170
2/28/2010,115156
3/31/2010,116937
4/30/2010,121685
5/31/2010,125674
6/30/2010,126900
7/31/2010,125841
8/31/2010,126049
9/30/2010,127003
10/31/2010,126828
11/30/2010,125099
12/31/2010,124544
1/31/2011,124702
2/28/2011,125996
3/31/2011,126017
4/30/2011,123991
5/31/2011,121905
6/30/2011,120622
7/31/2011,120712
8/31/2011,119818
9/30/2011,118516
10/31/2011,117471
11/30/2011,118339
12/31/2011,118174
1/31/2012,117996
2/29/2012,116746
3/31/2012,118116
4/30/2012,119130
5/31/2012,121042
6/30/2012,120873
7/31/2012,120907
8/31/2012,120271
9/30/2012,121107
10/31/2012,123674
11/30/2012,124938
12/31/2012,127688
1/31/2013,129523
2/28/2013,132566
3/31/2013,134861
4/30/2013,137179
5/31/2013,140916
6/30/2013,145707
7/31/2013,151192
8/31/2013,156703
9/30/2013,161644
10/31/2013,164940
11/30/2013,169370
12/31/2013,172326
1/31/2014,177600
2/28/2014,181111
3/31/2014,183028
4/30/2014,185161
5/31/2014,186798
6/30/2014,189277
7/31/2014,187646
8/31/2014,187667
9/30/2014,187906
10/31/2014,190303
11/30/2014,191130
12/31/2014,191351
1/31/2015,191580
2/28/2015,193146
3/31/2015,194721
4/30/2015,195792
5/31/2015,195834
6/30/2015,197498
7/31/2015,199851
8/31/2015,201328
9/30/2015,202005
10/31/2015,203324
11/30/2015,204774
12/31/2015,206299
1/31/2016,208173
2/29/2016,210970
3/31/2016,214082
4/30/2016,214863
5/31/2016,215859
6/30/2016,216785
7/31/2016,218745
8/31/2016,220821
9/30/2016,222914
10/31/2016,224174
11/30/2016,226273
12/31/2016,227988
1/31/2017,230898
2/28/2017,233263
3/31/2017,235245
4/30/2017,237529
5/31/2017,240446
6/30/2017,242895
7/31/2017,244372
8/31/2017,244350
9/30/2017,244896
10/31/2017,246929
11/30/2017,248630
12/31/2017,250822
1/31/2018,253589
2/28/2018,256371
3/31/2018,258953
4/30/2018,260149
5/31/2018,261108
6/30/2018,262629
7/31/2018,264703
8/31/2018,267808
9/30/2018,270520
10/31/2018,272629
11/30/2018,274305
12/31/2018,275680
1/31/2019,276020
2/28/2019,275705
3/31/2019,275496
4/30/2019,277029
5/31/2019,278599
6/30/2019,279870
7/31/2019,279725
8/31/2019,279875
9/30/2019,279550
10/31/2019,279698
11/30/2019,279365
12/31/2019,279499
1/31/2020,280171
2/29/2020,282926
3/31/2020,285669
4/30/2020,286975
5/31/2020,285587
6/30/2020,285633
7/31/2020,289691
8/31/2020,294081
9/30/2020,297691
10/31/2020,299782
11/30/2020,305264
12/31/2020,310692
1/31/2021,317098
2/28/2021,321426
3/31/2021,327726
4/30/2021,334422
5/31/2021,343244
6/30/2021,349727
7/31/2021,356672
8/31/2021,364059
9/30/2021,373106
10/31/2021,380648
11/30/2021,386125
12/31/2021,391269
1/31/2022,398151
2/28/2022,404977
3/31/2022,413688
4/30/2022,420287
