Dates,Shasta County
1/31/2000,78996
2/29/2000,78933
3/31/2000,79111
4/30/2000,79440
5/31/2000,79892
6/30/2000,80322
7/31/2000,80819
8/31/2000,81438
9/30/2000,82007
10/31/2000,81508
11/30/2000,80904
12/31/2000,80317
1/31/2001,80743
2/28/2001,81148
3/31/2001,81717
4/30/2001,82255
5/31/2001,82953
6/30/2001,83717
7/31/2001,84838
8/31/2001,86142
9/30/2001,87256
10/31/2001,88353
11/30/2001,89445
12/31/2001,90755
1/31/2002,91693
2/28/2002,92520
3/31/2002,93191
4/30/2002,94209
5/31/2002,95376
6/30/2002,96901
7/31/2002,98215
8/31/2002,99556
9/30/2002,100749
10/31/2002,102892
11/30/2002,105060
12/31/2002,107698
1/31/2003,109510
2/28/2003,111920
3/31/2003,113809
4/30/2003,115920
5/31/2003,117448
6/30/2003,119062
7/31/2003,121072
8/31/2003,122843
9/30/2003,124897
10/31/2003,126146
11/30/2003,128020
12/31/2003,129281
1/31/2004,131031
2/29/2004,131604
3/31/2004,133058
4/30/2004,134723
5/31/2004,137071
6/30/2004,139604
7/31/2004,142654
8/31/2004,146128
9/30/2004,148828
10/31/2004,150655
11/30/2004,152572
12/31/2004,155011
1/31/2005,157607
2/28/2005,158595
3/31/2005,160634
4/30/2005,163375
5/31/2005,167991
6/30/2005,171649
7/31/2005,175043
8/31/2005,178358
9/30/2005,181241
10/31/2005,184017
11/30/2005,186658
12/31/2005,189361
1/31/2006,190721
2/28/2006,192217
3/31/2006,194678
4/30/2006,197231
5/31/2006,199786
6/30/2006,200827
7/31/2006,201479
8/31/2006,200435
9/30/2006,198781
10/31/2006,197788
11/30/2006,196881
12/31/2006,195235
1/31/2007,193564
2/28/2007,193117
3/31/2007,193282
4/30/2007,193174
5/31/2007,191225
6/30/2007,188848
7/31/2007,185785
8/31/2007,184825
9/30/2007,184827
10/31/2007,184856
11/30/2007,182252
12/31/2007,180134
1/31/2008,179316
2/29/2008,179286
3/31/2008,177484
4/30/2008,173975
5/31/2008,170198
6/30/2008,166506
7/31/2008,162634
8/31/2008,159227
9/30/2008,156334
10/31/2008,154497
11/30/2008,152559
12/31/2008,150773
1/31/2009,149214
2/28/2009,148120
3/31/2009,147049
4/30/2009,145899
5/31/2009,144652
6/30/2009,143701
7/31/2009,141821
8/31/2009,139887
9/30/2009,138236
10/31/2009,137830
11/30/2009,137721
12/31/2009,137472
1/31/2010,137350
2/28/2010,137490
3/31/2010,137595
4/30/2010,137249
5/31/2010,136535
6/30/2010,135748
7/31/2010,135182
8/31/2010,134439
9/30/2010,133812
10/31/2010,133405
11/30/2010,132751
12/31/2010,132038
1/31/2011,130991
2/28/2011,130704
3/31/2011,129920
4/30/2011,129164
5/31/2011,128081
6/30/2011,127489
7/31/2011,125698
8/31/2011,123967
9/30/2011,121891
10/31/2011,121402
11/30/2011,120792
12/31/2011,121130
1/31/2012,121324
2/29/2012,122020
3/31/2012,122208
4/30/2012,122338
5/31/2012,122437
6/30/2012,122201
7/31/2012,122562
8/31/2012,122941
9/30/2012,124006
10/31/2012,124832
11/30/2012,126093
12/31/2012,126909
1/31/2013,130748
2/28/2013,134673
3/31/2013,139491
4/30/2013,139658
5/31/2013,139478
6/30/2013,140314
7/31/2013,144317
8/31/2013,148606
9/30/2013,151920
10/31/2013,154212
11/30/2013,156609
12/31/2013,158700
1/31/2014,164651
2/28/2014,170883
3/31/2014,177105
4/30/2014,179354
5/31/2014,181214
6/30/2014,182999
7/31/2014,185166
8/31/2014,187251
9/30/2014,189723
10/31/2014,192643
11/30/2014,195612
12/31/2014,198243
1/31/2015,199315
2/28/2015,200553
3/31/2015,202352
4/30/2015,205081
5/31/2015,207123
6/30/2015,208309
7/31/2015,209087
8/31/2015,209810
9/30/2015,210886
10/31/2015,217062
11/30/2015,223720
12/31/2015,230627
1/31/2016,231745
2/29/2016,232063
3/31/2016,231374
4/30/2016,232141
5/31/2016,233560
6/30/2016,235987
7/31/2016,236022
8/31/2016,236673
9/30/2016,236741
10/31/2016,237895
11/30/2016,239260
12/31/2016,240541
1/31/2017,241800
2/28/2017,242526
3/31/2017,244150
4/30/2017,246700
5/31/2017,249518
6/30/2017,252027
7/31/2017,252666
8/31/2017,252602
9/30/2017,253434
10/31/2017,254721
11/30/2017,256729
12/31/2017,257845
1/31/2018,258763
2/28/2018,258777
3/31/2018,259141
4/30/2018,260698
5/31/2018,262852
6/30/2018,263778
7/31/2018,263343
8/31/2018,263027
9/30/2018,264014
10/31/2018,265946
11/30/2018,267737
12/31/2018,269244
1/31/2019,270645
2/28/2019,272193
3/31/2019,272751
4/30/2019,274013
5/31/2019,276180
6/30/2019,279518
7/31/2019,281021
8/31/2019,281125
9/30/2019,281322
10/31/2019,281728
11/30/2019,282197
12/31/2019,282741
1/31/2020,282458
2/29/2020,282272
3/31/2020,281325
4/30/2020,283268
5/31/2020,284959
6/30/2020,285514
7/31/2020,286508
8/31/2020,289052
9/30/2020,293915
10/31/2020,299330
11/30/2020,303790
12/31/2020,308466
1/31/2021,311238
2/28/2021,314491
3/31/2021,319050
4/30/2021,326128
5/31/2021,333786
6/30/2021,341108
7/31/2021,349786
8/31/2021,357427
9/30/2021,363956
10/31/2021,364756
11/30/2021,365542
12/31/2021,367201
1/31/2022,369854
2/28/2022,373751
3/31/2022,376361
4/30/2022,381462
