Dates,Stanislaus County
1/31/2000,148886
2/29/2000,149243
3/31/2000,149844
4/30/2000,149574
5/31/2000,149406
6/30/2000,149158
7/31/2000,150404
8/31/2000,151975
9/30/2000,154156
10/31/2000,156398
11/30/2000,159743
12/31/2000,162889
1/31/2001,165809
2/28/2001,167396
3/31/2001,170104
4/30/2001,173745
5/31/2001,178050
6/30/2001,181813
7/31/2001,185192
8/31/2001,188273
9/30/2001,191629
10/31/2001,194685
11/30/2001,197627
12/31/2001,199486
1/31/2002,200157
2/28/2002,200425
3/31/2002,201985
4/30/2002,204741
5/31/2002,207978
6/30/2002,210425
7/31/2002,212541
8/31/2002,215159
9/30/2002,217478
10/31/2002,220315
11/30/2002,222902
12/31/2002,225469
1/31/2003,227970
2/28/2003,229769
3/31/2003,232590
4/30/2003,235840
5/31/2003,240063
6/30/2003,243468
7/31/2003,246270
8/31/2003,249377
9/30/2003,252356
10/31/2003,256595
11/30/2003,259589
12/31/2003,262439
1/31/2004,263793
2/29/2004,266070
3/31/2004,268891
4/30/2004,273653
5/31/2004,278741
6/30/2004,284309
7/31/2004,289231
8/31/2004,295133
9/30/2004,300300
10/31/2004,307151
11/30/2004,312944
12/31/2004,319467
1/31/2005,324467
2/28/2005,331666
3/31/2005,338365
4/30/2005,345488
5/31/2005,352868
6/30/2005,360238
7/31/2005,368231
8/31/2005,374113
9/30/2005,381756
10/31/2005,390647
11/30/2005,398499
12/31/2005,403592
1/31/2006,407164
2/28/2006,411828
3/31/2006,417414
4/30/2006,422236
5/31/2006,424416
6/30/2006,424727
7/31/2006,423584
8/31/2006,421345
9/30/2006,418252
10/31/2006,412690
11/30/2006,408088
12/31/2006,403118
1/31/2007,399518
2/28/2007,397920
3/31/2007,395557
4/30/2007,392050
5/31/2007,384620
6/30/2007,378097
7/31/2007,372117
8/31/2007,363897
9/30/2007,355209
10/31/2007,344830
11/30/2007,332102
12/31/2007,322476
1/31/2008,308600
2/29/2008,296717
3/31/2008,277136
4/30/2008,263061
5/31/2008,250914
6/30/2008,242735
7/31/2008,230704
8/31/2008,218330
9/30/2008,207683
10/31/2008,201827
11/30/2008,195922
12/31/2008,189233
1/31/2009,181157
2/28/2009,176271
3/31/2009,171750
4/30/2009,168592
5/31/2009,166861
6/30/2009,164590
7/31/2009,161833
8/31/2009,158481
9/30/2009,155806
10/31/2009,154028
11/30/2009,153895
12/31/2009,154396
1/31/2010,155373
2/28/2010,153989
3/31/2010,154142
4/30/2010,154830
5/31/2010,155399
6/30/2010,156286
7/31/2010,156961
8/31/2010,158566
9/30/2010,158789
10/31/2010,158126
11/30/2010,155504
12/31/2010,153147
1/31/2011,152027
2/28/2011,152764
3/31/2011,152894
4/30/2011,151863
5/31/2011,149598
6/30/2011,147555
7/31/2011,144988
8/31/2011,143178
9/30/2011,141685
10/31/2011,140708
11/30/2011,140281
12/31/2011,139938
1/31/2012,140403
2/29/2012,140490
3/31/2012,141512
4/30/2012,142247
5/31/2012,143099
6/30/2012,143391
7/31/2012,144190
8/31/2012,146246
9/30/2012,148486
10/31/2012,151047
11/30/2012,153216
12/31/2012,156087
1/31/2013,159084
2/28/2013,162649
3/31/2013,165819
4/30/2013,168839
5/31/2013,172089
6/30/2013,177346
7/31/2013,183382
8/31/2013,189800
9/30/2013,195707
10/31/2013,201476
11/30/2013,206786
12/31/2013,211417
1/31/2014,216275
2/28/2014,219592
3/31/2014,221995
4/30/2014,223165
5/31/2014,225667
6/30/2014,228247
7/31/2014,231177
8/31/2014,231415
9/30/2014,231228
10/31/2014,230627
11/30/2014,232303
12/31/2014,233826
1/31/2015,234789
2/28/2015,235217
3/31/2015,236184
4/30/2015,237426
5/31/2015,239315
6/30/2015,239923
7/31/2015,240679
8/31/2015,242365
9/30/2015,244656
10/31/2015,247396
11/30/2015,248863
12/31/2015,250993
1/31/2016,252953
2/29/2016,255735
3/31/2016,257667
4/30/2016,259490
5/31/2016,259934
6/30/2016,261754
7/31/2016,265222
8/31/2016,267457
9/30/2016,269358
10/31/2016,269980
11/30/2016,272942
12/31/2016,275061
1/31/2017,277902
2/28/2017,279875
3/31/2017,281756
4/30/2017,282966
5/31/2017,284552
6/30/2017,285963
7/31/2017,286176
8/31/2017,286199
9/30/2017,287627
10/31/2017,290427
11/30/2017,293458
12/31/2017,296565
1/31/2018,299903
2/28/2018,302438
3/31/2018,305689
4/30/2018,308012
5/31/2018,310687
6/30/2018,311667
7/31/2018,312924
8/31/2018,314389
9/30/2018,316271
10/31/2018,316812
11/30/2018,317779
12/31/2018,319326
1/31/2019,320610
2/28/2019,321239
3/31/2019,320914
4/30/2019,323560
5/31/2019,324704
6/30/2019,326083
7/31/2019,324909
8/31/2019,325438
9/30/2019,325612
10/31/2019,328111
11/30/2019,329291
12/31/2019,331230
1/31/2020,331724
2/29/2020,334082
3/31/2020,335528
4/30/2020,336989
5/31/2020,340681
6/30/2020,342650
7/31/2020,345332
8/31/2020,347634
9/30/2020,352100
10/31/2020,356101
11/30/2020,359546
12/31/2020,364594
1/31/2021,370129
2/28/2021,374990
3/31/2021,379390
4/30/2021,384670
5/31/2021,393169
6/30/2021,402585
7/31/2021,414470
8/31/2021,423633
9/30/2021,430496
10/31/2021,435508
11/30/2021,437884
12/31/2021,441347
1/31/2022,444172
2/28/2022,451855
3/31/2022,459790
4/30/2022,468594
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
