Dates,Butte County
1/31/2000,
2/29/2000,
3/31/2000,
4/30/2000,
5/31/2000,
6/30/2000,
7/31/2000,
8/31/2000,
9/30/2000,
10/31/2000,
11/30/2000,
12/31/2000,
1/31/2001,145594
2/28/2001,146405
3/31/2001,147066
4/30/2001,148556
5/31/2001,150112
6/30/2001,151957
7/31/2001,153681
8/31/2001,155612
9/30/2001,157300
10/31/2001,158970
11/30/2001,160539
12/31/2001,162078
1/31/2002,163792
2/28/2002,165327
3/31/2002,167111
4/30/2002,168783
5/31/2002,170439
6/30/2002,172341
7/31/2002,174340
8/31/2002,176600
9/30/2002,178454
10/31/2002,180760
11/30/2002,183155
12/31/2002,185776
1/31/2003,188103
2/28/2003,190778
3/31/2003,193363
4/30/2003,196873
5/31/2003,200164
6/30/2003,205085
7/31/2003,208836
8/31/2003,213548
9/30/2003,216750
10/31/2003,220557
11/30/2003,223484
12/31/2003,226672
1/31/2004,229731
2/29/2004,232400
3/31/2004,235168
4/30/2004,238033
5/31/2004,242300
6/30/2004,246837
7/31/2004,251439
8/31/2004,254251
9/30/2004,257005
10/31/2004,260040
11/30/2004,263931
12/31/2004,266963
1/31/2005,268790
2/28/2005,271291
3/31/2005,275908
4/30/2005,282161
5/31/2005,288441
6/30/2005,293616
7/31/2005,299536
8/31/2005,304454
9/30/2005,310115
10/31/2005,313720
11/30/2005,317439
12/31/2005,317759
1/31/2006,318083
2/28/2006,317732
3/31/2006,320295
4/30/2006,322361
5/31/2006,324815
6/30/2006,324353
7/31/2006,322845
8/31/2006,320987
9/30/2006,320323
10/31/2006,318372
11/30/2006,314995
12/31/2006,313579
1/31/2007,313718
2/28/2007,314283
3/31/2007,311685
4/30/2007,309162
5/31/2007,307470
6/30/2007,306593
7/31/2007,305522
8/31/2007,304333
9/30/2007,304168
10/31/2007,304431
11/30/2007,304164
12/31/2007,300812
1/31/2008,297120
2/29/2008,294473
3/31/2008,292711
4/30/2008,289636
5/31/2008,284436
6/30/2008,279651
7/31/2008,276455
8/31/2008,271550
9/30/2008,266024
10/31/2008,260443
11/30/2008,256857
12/31/2008,254075
1/31/2009,251386
2/28/2009,250006
3/31/2009,247726
4/30/2009,245798
5/31/2009,242003
6/30/2009,238827
7/31/2009,235744
8/31/2009,231784
9/30/2009,229044
10/31/2009,226360
11/30/2009,226834
12/31/2009,227510
1/31/2010,226941
2/28/2010,224433
3/31/2010,222203
4/30/2010,222124
5/31/2010,223363
6/30/2010,224187
7/31/2010,223614
8/31/2010,221141
9/30/2010,217629
10/31/2010,215449
11/30/2010,214512
12/31/2010,214086
1/31/2011,212390
2/28/2011,211756
3/31/2011,210380
4/30/2011,208824
5/31/2011,205861
6/30/2011,203830
7/31/2011,201703
8/31/2011,199733
9/30/2011,197376
10/31/2011,194890
11/30/2011,193092
12/31/2011,193017
1/31/2012,192550
2/29/2012,192102
3/31/2012,191051
4/30/2012,190557
5/31/2012,190774
6/30/2012,191190
7/31/2012,192717
8/31/2012,195066
9/30/2012,196653
10/31/2012,198458
11/30/2012,199546
12/31/2012,201213
1/31/2013,203031
2/28/2013,204869
3/31/2013,207118
4/30/2013,210835
5/31/2013,214502
6/30/2013,218444
7/31/2013,219877
8/31/2013,222340
9/30/2013,224980
10/31/2013,228020
11/30/2013,230471
12/31/2013,231643
1/31/2014,232643
2/28/2014,233492
3/31/2014,234357
4/30/2014,235248
5/31/2014,235261
6/30/2014,235556
7/31/2014,234452
8/31/2014,234703
9/30/2014,234055
10/31/2014,235019
11/30/2014,236331
12/31/2014,238543
1/31/2015,241031
2/28/2015,241343
3/31/2015,241424
4/30/2015,241145
5/31/2015,241371
6/30/2015,241031
7/31/2015,239333
8/31/2015,239264
9/30/2015,239964
10/31/2015,242527
11/30/2015,243287
12/31/2015,245032
1/31/2016,247081
2/29/2016,249886
3/31/2016,251808
4/30/2016,253251
5/31/2016,254618
6/30/2016,256063
7/31/2016,255839
8/31/2016,257336
9/30/2016,259206
10/31/2016,262750
11/30/2016,264827
12/31/2016,266717
1/31/2017,268087
2/28/2017,269123
3/31/2017,269220
4/30/2017,268733
5/31/2017,268647
6/30/2017,269496
7/31/2017,271496
8/31/2017,273237
9/30/2017,274839
10/31/2017,276848
11/30/2017,278872
12/31/2017,281455
1/31/2018,284294
2/28/2018,287681
3/31/2018,291296
4/30/2018,294715
5/31/2018,297932
6/30/2018,298858
7/31/2018,297395
8/31/2018,295724
9/30/2018,295447
10/31/2018,296595
11/30/2018,297259
12/31/2018,301053
1/31/2019,307655
2/28/2019,316681
3/31/2019,322804
4/30/2019,327010
5/31/2019,330032
6/30/2019,333470
7/31/2019,336627
8/31/2019,338648
9/30/2019,340007
10/31/2019,341480
11/30/2019,343543
12/31/2019,343758
1/31/2020,340989
2/29/2020,336738
3/31/2020,334173
4/30/2020,333016
5/31/2020,331964
6/30/2020,330427
7/31/2020,332418
8/31/2020,335930
9/30/2020,341133
10/31/2020,345133
11/30/2020,348404
12/31/2020,351503
1/31/2021,354884
2/28/2021,359214
3/31/2021,363074
4/30/2021,366849
5/31/2021,371494
6/30/2021,376606
7/31/2021,383632
8/31/2021,389968
9/30/2021,395441
10/31/2021,396631
11/30/2021,396781
12/31/2021,396462
1/31/2022,399223
2/28/2022,404536
3/31/2022,410815
4/30/2022,415387
