Dates,Marin County
1/31/2000,552730
2/29/2000,556084
3/31/2000,560475
4/30/2000,569794
5/31/2000,580025
6/30/2000,590513
7/31/2000,600725
8/31/2000,611670
9/30/2000,621582
10/31/2000,631880
11/30/2000,640929
12/31/2000,650960
1/31/2001,660567
2/28/2001,670823
3/31/2001,680944
4/30/2001,689843
5/31/2001,697367
6/30/2001,703319
7/31/2001,708286
8/31/2001,712610
9/30/2001,717257
10/31/2001,721951
11/30/2001,726006
12/31/2001,725525
1/31/2002,721472
2/28/2002,716863
3/31/2002,717192
4/30/2002,721035
5/31/2002,725990
6/30/2002,731883
7/31/2002,740871
8/31/2002,751193
9/30/2002,759203
10/31/2002,764800
11/30/2002,768253
12/31/2002,770900
1/31/2003,775884
2/28/2003,780594
3/31/2003,786211
4/30/2003,788850
5/31/2003,791348
6/30/2003,793010
7/31/2003,793116
8/31/2003,794656
9/30/2003,797891
10/31/2003,801492
11/30/2003,805741
12/31/2003,810738
1/31/2004,818797
2/29/2004,827388
3/31/2004,838214
4/30/2004,851228
5/31/2004,866706
6/30/2004,883700
7/31/2004,893773
8/31/2004,902214
9/30/2004,908289
10/31/2004,921021
11/30/2004,933722
12/31/2004,941896
1/31/2005,945540
2/28/2005,955554
3/31/2005,968632
4/30/2005,984327
5/31/2005,995685
6/30/2005,1008325
7/31/2005,1021432
8/31/2005,1031454
9/30/2005,1039515
10/31/2005,1047896
11/30/2005,1056409
12/31/2005,1063566
1/31/2006,1058709
2/28/2006,1060013
3/31/2006,1064160
4/30/2006,1075890
5/31/2006,1078032
6/30/2006,1075436
7/31/2006,1071821
8/31/2006,1068839
9/30/2006,1065223
10/31/2006,1062279
11/30/2006,1056024
12/31/2006,1052595
1/31/2007,1052412
2/28/2007,1051150
3/31/2007,1046899
4/30/2007,1039432
5/31/2007,1039854
6/30/2007,1043820
7/31/2007,1049328
8/31/2007,1056347
9/30/2007,1057358
10/31/2007,1059296
11/30/2007,1056484
12/31/2007,1052235
1/31/2008,1030105
2/29/2008,1014798
3/31/2008,1002760
4/30/2008,1001088
5/31/2008,985399
6/30/2008,973234
7/31/2008,963255
8/31/2008,954695
9/30/2008,940108
10/31/2008,922237
11/30/2008,903616
12/31/2008,886658
1/31/2009,871469
2/28/2009,858932
3/31/2009,843633
4/30/2009,842477
5/31/2009,843771
6/30/2009,842193
7/31/2009,826766
8/31/2009,805985
9/30/2009,796227
10/31/2009,790143
11/30/2009,795610
12/31/2009,804889
1/31/2010,814373
2/28/2010,814780
3/31/2010,813701
4/30/2010,807071
5/31/2010,809931
6/30/2010,806087
7/31/2010,811392
8/31/2010,810878
9/30/2010,805400
10/31/2010,798427
11/30/2010,788434
12/31/2010,780903
1/31/2011,777365
2/28/2011,772958
3/31/2011,767034
4/30/2011,751966
5/31/2011,737939
6/30/2011,729734
7/31/2011,725132
8/31/2011,721151
9/30/2011,721499
10/31/2011,719409
11/30/2011,719636
12/31/2011,716779
1/31/2012,709954
2/29/2012,711233
3/31/2012,715365
4/30/2012,729044
5/31/2012,736371
6/30/2012,746282
7/31/2012,754345
8/31/2012,763025
9/30/2012,758816
10/31/2012,759486
11/30/2012,766421
12/31/2012,788686
1/31/2013,811525
2/28/2013,825052
3/31/2013,838988
4/30/2013,849445
5/31/2013,857886
6/30/2013,856006
7/31/2013,853929
8/31/2013,861897
9/30/2013,882844
10/31/2013,901486
11/30/2013,917805
12/31/2013,926511
1/31/2014,936589
2/28/2014,940703
3/31/2014,940979
4/30/2014,940740
5/31/2014,945762
6/30/2014,947858
7/31/2014,940513
8/31/2014,933324
9/30/2014,934324
10/31/2014,946944
11/30/2014,960060
12/31/2014,967892
1/31/2015,978705
2/28/2015,988105
3/31/2015,995829
4/30/2015,1000832
5/31/2015,1008679
6/30/2015,1021020
7/31/2015,1025421
8/31/2015,1028039
9/30/2015,1034153
10/31/2015,1047087
11/30/2015,1056876
12/31/2015,1065144
1/31/2016,1070586
2/29/2016,1070447
3/31/2016,1067811
4/30/2016,1067608
5/31/2016,1072956
6/30/2016,1079304
7/31/2016,1078793
8/31/2016,1081017
9/30/2016,1082056
10/31/2016,1087013
11/30/2016,1085667
12/31/2016,1090818
1/31/2017,1102670
2/28/2017,1121193
3/31/2017,1133732
4/30/2017,1140193
5/31/2017,1142098
6/30/2017,1139338
7/31/2017,1136839
8/31/2017,1137243
9/30/2017,1144411
10/31/2017,1155093
11/30/2017,1168231
12/31/2017,1179519
1/31/2018,1185917
2/28/2018,1188502
3/31/2018,1187550
4/30/2018,1193152
5/31/2018,1196779
6/30/2018,1202096
7/31/2018,1199175
8/31/2018,1200909
9/30/2018,1206411
10/31/2018,1215229
11/30/2018,1218840
12/31/2018,1217540
1/31/2019,1219181
2/28/2019,1218445
3/31/2019,1217559
4/30/2019,1213234
5/31/2019,1211615
6/30/2019,1211892
7/31/2019,1207122
8/31/2019,1197025
9/30/2019,1189357
10/31/2019,1187945
11/30/2019,1193699
12/31/2019,1196966
1/31/2020,1199659
2/29/2020,1210637
3/31/2020,1218275
4/30/2020,1222862
5/31/2020,1220214
6/30/2020,1229134
7/31/2020,1245769
8/31/2020,1263667
9/30/2020,1282918
10/31/2020,1297207
11/30/2020,1311025
12/31/2020,1318261
1/31/2021,1330092
2/28/2021,1336165
3/31/2021,1348521
4/30/2021,1362208
5/31/2021,1393853
6/30/2021,1424763
7/31/2021,1464012
8/31/2021,1489970
9/30/2021,1506186
10/31/2021,1509148
11/30/2021,1517601
12/31/2021,1524671
1/31/2022,1538222
2/28/2022,1566258
3/31/2022,1608986
4/30/2022,1654012
