Dates,Placer County
1/31/2000,243847
2/29/2000,244837
3/31/2000,245911
4/30/2000,248108
5/31/2000,250248
6/30/2000,252639
7/31/2000,256171
8/31/2000,260453
9/30/2000,264845
10/31/2000,268211
11/30/2000,271852
12/31/2000,275262
1/31/2001,279055
2/28/2001,282948
3/31/2001,287352
4/30/2001,291829
5/31/2001,296673
6/30/2001,301167
7/31/2001,305470
8/31/2001,308925
9/30/2001,312258
10/31/2001,315204
11/30/2001,317148
12/31/2001,319186
1/31/2002,321240
2/28/2002,322348
3/31/2002,323553
4/30/2002,325129
5/31/2002,327981
6/30/2002,330612
7/31/2002,333265
8/31/2002,336645
9/30/2002,340804
10/31/2002,345296
11/30/2002,349207
12/31/2002,353070
1/31/2003,356277
2/28/2003,360308
3/31/2003,364607
4/30/2003,368951
5/31/2003,373458
6/30/2003,376961
7/31/2003,381399
8/31/2003,384451
9/30/2003,388257
10/31/2003,391551
11/30/2003,395126
12/31/2003,398527
1/31/2004,402311
2/29/2004,408036
3/31/2004,413920
4/30/2004,421065
5/31/2004,428730
6/30/2004,436621
7/31/2004,444750
8/31/2004,453753
9/30/2004,462425
10/31/2004,471436
11/30/2004,480042
12/31/2004,490462
1/31/2005,499942
2/28/2005,507862
3/31/2005,514003
4/30/2005,522012
5/31/2005,530931
6/30/2005,540879
7/31/2005,547305
8/31/2005,552389
9/30/2005,557462
10/31/2005,561454
11/30/2005,564102
12/31/2005,566174
1/31/2006,569046
2/28/2006,572881
3/31/2006,576603
4/30/2006,577387
5/31/2006,577041
6/30/2006,574554
7/31/2006,571381
8/31/2006,566741
9/30/2006,560240
10/31/2006,554198
11/30/2006,547752
12/31/2006,541410
1/31/2007,536097
2/28/2007,531792
3/31/2007,530152
4/30/2007,528803
5/31/2007,527119
6/30/2007,523899
7/31/2007,518457
8/31/2007,512328
9/30/2007,506075
10/31/2007,501956
11/30/2007,493489
12/31/2007,483640
1/31/2008,469587
2/29/2008,458068
3/31/2008,444146
4/30/2008,431339
5/31/2008,418152
6/30/2008,409056
7/31/2008,402714
8/31/2008,399847
9/30/2008,392421
10/31/2008,385920
11/30/2008,377947
12/31/2008,374151
1/31/2009,370726
2/28/2009,366394
3/31/2009,359927
4/30/2009,355591
5/31/2009,350955
6/30/2009,348202
7/31/2009,343399
8/31/2009,340257
9/30/2009,337387
10/31/2009,333072
11/30/2009,330844
12/31/2009,329581
1/31/2010,329671
2/28/2010,329610
3/31/2010,330320
4/30/2010,330519
5/31/2010,330669
6/30/2010,329579
7/31/2010,327461
8/31/2010,323686
9/30/2010,318831
10/31/2010,316816
11/30/2010,315961
12/31/2010,316235
1/31/2011,315457
2/28/2011,312920
3/31/2011,310212
4/30/2011,305783
5/31/2011,302700
6/30/2011,299678
7/31/2011,298022
8/31/2011,296319
9/30/2011,295755
10/31/2011,294331
11/30/2011,294923
12/31/2011,293614
1/31/2012,292611
2/29/2012,290843
3/31/2012,291521
4/30/2012,294440
5/31/2012,297289
6/30/2012,300375
7/31/2012,303315
8/31/2012,305638
9/30/2012,306969
10/31/2012,309299
11/30/2012,312090
12/31/2012,317935
1/31/2013,324395
2/28/2013,333891
3/31/2013,342409
4/30/2013,350297
5/31/2013,357701
6/30/2013,364842
7/31/2013,372508
8/31/2013,379898
9/30/2013,387995
10/31/2013,393354
11/30/2013,395832
12/31/2013,396764
1/31/2014,400489
2/28/2014,405895
3/31/2014,409053
4/30/2014,410013
5/31/2014,409382
6/30/2014,409399
7/31/2014,406991
8/31/2014,405020
9/30/2014,405759
10/31/2014,408048
11/30/2014,410801
12/31/2014,410849
1/31/2015,410926
2/28/2015,410450
3/31/2015,411144
4/30/2015,413148
5/31/2015,416006
6/30/2015,417789
7/31/2015,416875
8/31/2015,416684
9/30/2015,417192
10/31/2015,420581
11/30/2015,422823
12/31/2015,425287
1/31/2016,428487
2/29/2016,433146
3/31/2016,437605
4/30/2016,439374
5/31/2016,440376
6/30/2016,442046
7/31/2016,443663
8/31/2016,444357
9/30/2016,444968
10/31/2016,446815
11/30/2016,449969
12/31/2016,454075
1/31/2017,460091
2/28/2017,462529
3/31/2017,462962
4/30/2017,462471
5/31/2017,466130
6/30/2017,470342
7/31/2017,471798
8/31/2017,471953
9/30/2017,473415
10/31/2017,477257
11/30/2017,481578
12/31/2017,484840
1/31/2018,485272
2/28/2018,488708
3/31/2018,494455
4/30/2018,501849
5/31/2018,503459
6/30/2018,502251
7/31/2018,499245
8/31/2018,497406
9/30/2018,497048
10/31/2018,499011
11/30/2018,502735
12/31/2018,506200
1/31/2019,510994
2/28/2019,513235
3/31/2019,513819
4/30/2019,515091
5/31/2019,517449
6/30/2019,518419
7/31/2019,517550
8/31/2019,517392
9/30/2019,519121
10/31/2019,520469
11/30/2019,522108
12/31/2019,524698
1/31/2020,526320
2/29/2020,529112
3/31/2020,531437
4/30/2020,534941
5/31/2020,533762
6/30/2020,532778
7/31/2020,533865
8/31/2020,537976
9/30/2020,545951
10/31/2020,555855
11/30/2020,566033
12/31/2020,571546
1/31/2021,573129
2/28/2021,576244
3/31/2021,584250
4/30/2021,594516
5/31/2021,609178
6/30/2021,625928
7/31/2021,647097
8/31/2021,665997
9/30/2021,677521
10/31/2021,685002
11/30/2021,686984
12/31/2021,691958
1/31/2022,698782
2/28/2022,710809
3/31/2022,724903
4/30/2022,738216
