Dates,San Luis Obispo County
1/31/2000,243313
2/29/2000,244191
3/31/2000,245588
4/30/2000,246729
5/31/2000,248234
6/30/2000,251460
7/31/2000,256884
8/31/2000,262364
9/30/2000,266909
10/31/2000,271158
11/30/2000,275637
12/31/2000,279855
1/31/2001,284909
2/28/2001,289639
3/31/2001,295085
4/30/2001,300244
5/31/2001,304790
6/30/2001,309238
7/31/2001,313095
8/31/2001,318088
9/30/2001,322059
10/31/2001,326232
11/30/2001,330556
12/31/2001,334904
1/31/2002,338391
2/28/2002,342003
3/31/2002,344812
4/30/2002,348591
5/31/2002,352637
6/30/2002,357423
7/31/2002,362085
8/31/2002,366471
9/30/2002,372194
10/31/2002,378222
11/30/2002,384967
12/31/2002,390052
1/31/2003,394666
2/28/2003,397393
3/31/2003,402138
4/30/2003,408705
5/31/2003,417200
6/30/2003,424439
7/31/2003,429961
8/31/2003,434259
9/30/2003,438555
10/31/2003,442175
11/30/2003,445114
12/31/2003,447737
1/31/2004,450663
2/29/2004,457853
3/31/2004,464954
4/30/2004,473110
5/31/2004,481175
6/30/2004,490732
7/31/2004,501111
8/31/2004,509662
9/30/2004,517246
10/31/2004,524766
11/30/2004,531511
12/31/2004,538790
1/31/2005,544782
2/28/2005,554241
3/31/2005,561610
4/30/2005,569445
5/31/2005,575953
6/30/2005,586723
7/31/2005,597165
8/31/2005,605689
9/30/2005,610761
10/31/2005,616570
11/30/2005,618167
12/31/2005,621207
1/31/2006,623147
2/28/2006,626597
3/31/2006,630343
4/30/2006,632272
5/31/2006,634676
6/30/2006,633457
7/31/2006,630649
8/31/2006,626149
9/30/2006,621930
10/31/2006,619387
11/30/2006,614649
12/31/2006,607864
1/31/2007,603527
2/28/2007,601291
3/31/2007,600704
4/30/2007,598732
5/31/2007,599185
6/30/2007,597733
7/31/2007,595098
8/31/2007,591492
9/30/2007,588544
10/31/2007,583764
11/30/2007,576889
12/31/2007,571251
1/31/2008,569258
2/29/2008,568743
3/31/2008,564691
4/30/2008,555848
5/31/2008,546088
6/30/2008,537781
7/31/2008,530383
8/31/2008,522138
9/30/2008,513578
10/31/2008,506012
11/30/2008,502632
12/31/2008,502210
1/31/2009,496703
2/28/2009,484115
3/31/2009,473989
4/30/2009,466601
5/31/2009,463189
6/30/2009,459628
7/31/2009,459949
8/31/2009,461710
9/30/2009,459223
10/31/2009,455504
11/30/2009,450625
12/31/2009,447688
1/31/2010,446756
2/28/2010,447658
3/31/2010,449135
4/30/2010,452851
5/31/2010,455052
6/30/2010,454072
7/31/2010,448297
8/31/2010,441725
9/30/2010,435146
10/31/2010,430078
11/30/2010,426255
12/31/2010,424323
1/31/2011,420323
2/28/2011,415957
3/31/2011,412169
4/30/2011,411468
5/31/2011,410430
6/30/2011,411010
7/31/2011,409807
8/31/2011,406957
9/30/2011,403285
10/31/2011,400955
11/30/2011,402488
12/31/2011,405076
1/31/2012,404606
2/29/2012,404913
3/31/2012,403801
4/30/2012,405290
5/31/2012,405102
6/30/2012,404788
7/31/2012,405442
8/31/2012,404023
9/30/2012,405913
10/31/2012,408250
11/30/2012,414894
12/31/2012,420639
1/31/2013,427977
2/28/2013,433963
3/31/2013,439966
4/30/2013,446137
5/31/2013,452766
6/30/2013,457906
7/31/2013,463806
8/31/2013,469299
9/30/2013,476101
10/31/2013,480554
11/30/2013,485765
12/31/2013,489099
1/31/2014,492513
2/28/2014,495906
3/31/2014,500034
4/30/2014,504038
5/31/2014,506740
6/30/2014,507872
7/31/2014,507109
8/31/2014,504597
9/30/2014,504689
10/31/2014,505949
11/30/2014,510209
12/31/2014,514259
1/31/2015,517173
2/28/2015,519574
3/31/2015,520050
4/30/2015,522331
5/31/2015,523888
6/30/2015,527203
7/31/2015,526906
8/31/2015,529750
9/30/2015,532847
10/31/2015,540086
11/30/2015,545769
12/31/2015,550564
1/31/2016,553658
2/29/2016,555591
3/31/2016,558375
4/30/2016,561294
5/31/2016,563613
6/30/2016,564792
7/31/2016,566679
8/31/2016,566359
9/30/2016,566432
10/31/2016,567413
11/30/2016,569696
12/31/2016,573106
1/31/2017,576340
2/28/2017,582148
3/31/2017,585347
4/30/2017,588428
5/31/2017,589002
6/30/2017,589672
7/31/2017,586974
8/31/2017,588333
9/30/2017,592871
10/31/2017,599462
11/30/2017,604996
12/31/2017,610138
1/31/2018,615627
2/28/2018,619742
3/31/2018,620681
4/30/2018,619389
5/31/2018,618195
6/30/2018,620860
7/31/2018,627344
8/31/2018,631233
9/30/2018,631644
10/31/2018,630474
11/30/2018,629068
12/31/2018,628796
1/31/2019,628170
2/28/2019,627039
3/31/2019,628708
4/30/2019,630871
5/31/2019,635912
6/30/2019,635120
7/31/2019,630811
8/31/2019,630210
9/30/2019,632835
10/31/2019,636811
11/30/2019,636688
12/31/2019,636295
1/31/2020,637879
2/29/2020,643103
3/31/2020,646121
4/30/2020,649714
5/31/2020,648293
6/30/2020,647918
7/31/2020,649058
8/31/2020,655036
9/30/2020,663319
10/31/2020,670597
11/30/2020,676603
12/31/2020,681591
1/31/2021,688872
2/28/2021,694947
3/31/2021,704159
4/30/2021,710904
5/31/2021,723266
6/30/2021,738019
7/31/2021,755480
8/31/2021,771334
9/30/2021,782636
10/31/2021,792288
11/30/2021,803934
12/31/2021,814946
1/31/2022,827740
2/28/2022,840282
3/31/2022,855934
4/30/2022,872695
