Dates,Santa Clara County
1/31/2000,443755
2/29/2000,446426
3/31/2000,450253
4/30/2000,461205
5/31/2000,471691
6/30/2000,484137
7/31/2000,493736
8/31/2000,506493
9/30/2000,518740
10/31/2000,531297
11/30/2000,544397
12/31/2000,556169
1/31/2001,568343
2/28/2001,578843
3/31/2001,589657
4/30/2001,598519
5/31/2001,604690
6/30/2001,605803
7/31/2001,604931
8/31/2001,602991
9/30/2001,600998
10/31/2001,596358
11/30/2001,588513
12/31/2001,580763
1/31/2002,574373
2/28/2002,573845
3/31/2002,575521
4/30/2002,579303
5/31/2002,583551
6/30/2002,587768
7/31/2002,592279
8/31/2002,593785
9/30/2002,594739
10/31/2002,596071
11/30/2002,599273
12/31/2002,600521
1/31/2003,602206
2/28/2003,604385
3/31/2003,605522
4/30/2003,605457
5/31/2003,602065
6/30/2003,600610
7/31/2003,599021
8/31/2003,599288
9/30/2003,602018
10/31/2003,604139
11/30/2003,607806
12/31/2003,613536
1/31/2004,621932
2/29/2004,629093
3/31/2004,634433
4/30/2004,641825
5/31/2004,650945
6/30/2004,660927
7/31/2004,668973
8/31/2004,676682
9/30/2004,683687
10/31/2004,692909
11/30/2004,704901
12/31/2004,719278
1/31/2005,732677
2/28/2005,745389
3/31/2005,760779
4/30/2005,772978
5/31/2005,785771
6/30/2005,792988
7/31/2005,804661
8/31/2005,812769
9/30/2005,821963
10/31/2005,826637
11/30/2005,830194
12/31/2005,836766
1/31/2006,843170
2/28/2006,848889
3/31/2006,844622
4/30/2006,843399
5/31/2006,843699
6/30/2006,847320
7/31/2006,848570
8/31/2006,844402
9/30/2006,846497
10/31/2006,846250
11/30/2006,848768
12/31/2006,851958
1/31/2007,852500
2/28/2007,854856
3/31/2007,855804
4/30/2007,857600
5/31/2007,857557
6/30/2007,853353
7/31/2007,851482
8/31/2007,850448
9/30/2007,848633
10/31/2007,842893
11/30/2007,836605
12/31/2007,828374
1/31/2008,818859
2/29/2008,804428
3/31/2008,789896
4/30/2008,780711
5/31/2008,773071
6/30/2008,762731
7/31/2008,749009
8/31/2008,736389
9/30/2008,721008
10/31/2008,708800
11/30/2008,687553
12/31/2008,678856
1/31/2009,659239
2/28/2009,654412
3/31/2009,638091
4/30/2009,633573
5/31/2009,626873
6/30/2009,627417
7/31/2009,626680
8/31/2009,622834
9/30/2009,620268
10/31/2009,622478
11/30/2009,632697
12/31/2009,636725
1/31/2010,642709
2/28/2010,643607
3/31/2010,657324
4/30/2010,659917
5/31/2010,661545
6/30/2010,651908
7/31/2010,643683
8/31/2010,640311
9/30/2010,639942
10/31/2010,639280
11/30/2010,633575
12/31/2010,626162
1/31/2011,623618
2/28/2011,618488
3/31/2011,616888
4/30/2011,613450
5/31/2011,607881
6/30/2011,609574
7/31/2011,608388
8/31/2011,611407
9/30/2011,602505
10/31/2011,595150
11/30/2011,596203
12/31/2011,596072
1/31/2012,597763
2/29/2012,600200
3/31/2012,607872
4/30/2012,618842
5/31/2012,628435
6/30/2012,638288
7/31/2012,648494
8/31/2012,656427
9/30/2012,664356
10/31/2012,675690
11/30/2012,688362
12/31/2012,704174
1/31/2013,720633
2/28/2013,733749
3/31/2013,746671
4/30/2013,756012
5/31/2013,769069
6/30/2013,781072
7/31/2013,789455
8/31/2013,794329
9/30/2013,797011
10/31/2013,805613
11/30/2013,807270
12/31/2013,818361
1/31/2014,830577
2/28/2014,849929
3/31/2014,857751
4/30/2014,857630
5/31/2014,852399
6/30/2014,848355
7/31/2014,852793
8/31/2014,859722
9/30/2014,872257
10/31/2014,881540
11/30/2014,894460
12/31/2014,901938
1/31/2015,908144
2/28/2015,913761
3/31/2015,926538
4/30/2015,932137
5/31/2015,950200
6/30/2015,958615
7/31/2015,970723
8/31/2015,975444
9/30/2015,985664
10/31/2015,997030
11/30/2015,1004890
12/31/2015,1013853
1/31/2016,1024367
2/29/2016,1031808
3/31/2016,1036538
4/30/2016,1043691
5/31/2016,1038179
6/30/2016,1036808
7/31/2016,1027100
8/31/2016,1032313
9/30/2016,1032113
10/31/2016,1040127
11/30/2016,1045600
12/31/2016,1053933
1/31/2017,1061164
2/28/2017,1071491
3/31/2017,1076365
4/30/2017,1082453
5/31/2017,1086279
6/30/2017,1094919
7/31/2017,1103556
8/31/2017,1119380
9/30/2017,1143864
10/31/2017,1170557
11/30/2017,1196809
12/31/2017,1222869
1/31/2018,1250355
2/28/2018,1280653
3/31/2018,1307606
4/30/2018,1327638
5/31/2018,1351092
6/30/2018,1370419
7/31/2018,1391471
8/31/2018,1386531
9/30/2018,1375743
10/31/2018,1359120
11/30/2018,1347988
12/31/2018,1328369
1/31/2019,1304713
2/28/2019,1283756
3/31/2019,1268581
4/30/2019,1262379
5/31/2019,1255301
6/30/2019,1244021
7/31/2019,1232442
8/31/2019,1223491
9/30/2019,1227674
10/31/2019,1227316
11/30/2019,1231106
12/31/2019,1233210
1/31/2020,1248849
2/29/2020,1264548
3/31/2020,1285343
4/30/2020,1290745
5/31/2020,1272971
6/30/2020,1256237
7/31/2020,1251499
8/31/2020,1277379
9/30/2020,1297866
10/31/2020,1315970
11/30/2020,1329453
12/31/2020,1341097
1/31/2021,1350088
2/28/2021,1352119
3/31/2021,1355528
4/30/2021,1371773
5/31/2021,1411393
6/30/2021,1460098
7/31/2021,1498456
8/31/2021,1519913
9/30/2021,1526170
10/31/2021,1535166
11/30/2021,1550068
12/31/2021,1571313
1/31/2022,1600325
2/28/2022,1639629
3/31/2022,1679743
4/30/2022,1716691
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
