Dates,Solano County
1/31/2000,198493
2/29/2000,199058
3/31/2000,200291
4/30/2000,202113
5/31/2000,204492
6/30/2000,207080
7/31/2000,210193
8/31/2000,214359
9/30/2000,218694
10/31/2000,223353
11/30/2000,227115
12/31/2000,230054
1/31/2001,232690
2/28/2001,236873
3/31/2001,241403
4/30/2001,246046
5/31/2001,250320
6/30/2001,254757
7/31/2001,259650
8/31/2001,263006
9/30/2001,266604
10/31/2001,269611
11/30/2001,272917
12/31/2001,276110
1/31/2002,278772
2/28/2002,280163
3/31/2002,281644
4/30/2002,283853
5/31/2002,286637
6/30/2002,289706
7/31/2002,292922
8/31/2002,297075
9/30/2002,300487
10/31/2002,303651
11/30/2002,306736
12/31/2002,310313
1/31/2003,314379
2/28/2003,318835
3/31/2003,323315
4/30/2003,328139
5/31/2003,332914
6/30/2003,337014
7/31/2003,341056
8/31/2003,345039
9/30/2003,349077
10/31/2003,352381
11/30/2003,356274
12/31/2003,360432
1/31/2004,364410
2/29/2004,367948
3/31/2004,372298
4/30/2004,377926
5/31/2004,383575
6/30/2004,390015
7/31/2004,396619
8/31/2004,404149
9/30/2004,412172
10/31/2004,419923
11/30/2004,427448
12/31/2004,433671
1/31/2005,438740
2/28/2005,443661
3/31/2005,450284
4/30/2005,458909
5/31/2005,468487
6/30/2005,477089
7/31/2005,485422
8/31/2005,493512
9/30/2005,500598
10/31/2005,506824
11/30/2005,510127
12/31/2005,513215
1/31/2006,514303
2/28/2006,520774
3/31/2006,526102
4/30/2006,531672
5/31/2006,533440
6/30/2006,533766
7/31/2006,531312
8/31/2006,527741
9/30/2006,524526
10/31/2006,521692
11/30/2006,517785
12/31/2006,512271
1/31/2007,507578
2/28/2007,504895
3/31/2007,504632
4/30/2007,505595
5/31/2007,500136
6/30/2007,492876
7/31/2007,485694
8/31/2007,480203
9/30/2007,475925
10/31/2007,471346
11/30/2007,464034
12/31/2007,447881
1/31/2008,430638
2/29/2008,417325
3/31/2008,405979
4/30/2008,391589
5/31/2008,375309
6/30/2008,362287
7/31/2008,349648
8/31/2008,334517
9/30/2008,316483
10/31/2008,299318
11/30/2008,285030
12/31/2008,278564
1/31/2009,277049
2/28/2009,273534
3/31/2009,266746
4/30/2009,257692
5/31/2009,253453
6/30/2009,249075
7/31/2009,243218
8/31/2009,236382
9/30/2009,232058
10/31/2009,230374
11/30/2009,232611
12/31/2009,234009
1/31/2010,234502
2/28/2010,232688
3/31/2010,234513
4/30/2010,235026
5/31/2010,236243
6/30/2010,235433
7/31/2010,237614
8/31/2010,237625
9/30/2010,237604
10/31/2010,235972
11/30/2010,236201
12/31/2010,234045
1/31/2011,230576
2/28/2011,227553
3/31/2011,225410
4/30/2011,224806
5/31/2011,222026
6/30/2011,219721
7/31/2011,217551
8/31/2011,215451
9/30/2011,213228
10/31/2011,210983
11/30/2011,208599
12/31/2011,207194
1/31/2012,206178
2/29/2012,206168
3/31/2012,205140
4/30/2012,204640
5/31/2012,204295
6/30/2012,206449
7/31/2012,208079
8/31/2012,210908
9/30/2012,211505
10/31/2012,211936
11/30/2012,213995
12/31/2012,219096
1/31/2013,225963
2/28/2013,231269
3/31/2013,236380
4/30/2013,242340
5/31/2013,249255
6/30/2013,256982
7/31/2013,266227
8/31/2013,273862
9/30/2013,280863
10/31/2013,287586
11/30/2013,294439
12/31/2013,300822
1/31/2014,305252
2/28/2014,310607
3/31/2014,313712
4/30/2014,316228
5/31/2014,320060
6/30/2014,324727
7/31/2014,328415
8/31/2014,330821
9/30/2014,333667
10/31/2014,334240
11/30/2014,335453
12/31/2014,335982
1/31/2015,338710
2/28/2015,340356
3/31/2015,343258
4/30/2015,346306
5/31/2015,348476
6/30/2015,348374
7/31/2015,346381
8/31/2015,346745
9/30/2015,348338
10/31/2015,354316
11/30/2015,357968
12/31/2015,362483
1/31/2016,364521
2/29/2016,365015
3/31/2016,364799
4/30/2016,365389
5/31/2016,368863
6/30/2016,373759
7/31/2016,377692
8/31/2016,382111
9/30/2016,385362
10/31/2016,388064
11/30/2016,390462
12/31/2016,392180
1/31/2017,393617
2/28/2017,396859
3/31/2017,399489
4/30/2017,403514
5/31/2017,405049
6/30/2017,406368
7/31/2017,405310
8/31/2017,407046
9/30/2017,410686
10/31/2017,416147
11/30/2017,419218
12/31/2017,422813
1/31/2018,429382
2/28/2018,432889
3/31/2018,434788
4/30/2018,435157
5/31/2018,438405
6/30/2018,441792
7/31/2018,443827
8/31/2018,445713
9/30/2018,447983
10/31/2018,451099
11/30/2018,453357
12/31/2018,453782
1/31/2019,450322
2/28/2019,448589
3/31/2019,448730
4/30/2019,451159
5/31/2019,452891
6/30/2019,453427
7/31/2019,454901
8/31/2019,456243
9/30/2019,457726
10/31/2019,458820
11/30/2019,457852
12/31/2019,455607
1/31/2020,455837
2/29/2020,456335
3/31/2020,459987
4/30/2020,461992
5/31/2020,464969
6/30/2020,465700
7/31/2020,464594
8/31/2020,464627
9/30/2020,469006
10/31/2020,476940
11/30/2020,483785
12/31/2020,489075
1/31/2021,494786
2/28/2021,501506
3/31/2021,510346
4/30/2021,518260
5/31/2021,529100
6/30/2021,539769
7/31/2021,554247
8/31/2021,567717
9/30/2021,577524
10/31/2021,582883
11/30/2021,587160
12/31/2021,594929
1/31/2022,603703
2/28/2022,612057
3/31/2022,619242
4/30/2022,624207
