Dates,Yolo County
1/31/2000,185026
2/29/2000,185434
3/31/2000,186309
4/30/2000,188128
5/31/2000,190218
6/30/2000,192445
7/31/2000,194719
8/31/2000,197235
9/30/2000,199666
10/31/2000,202231
11/30/2000,205082
12/31/2000,208142
1/31/2001,210879
2/28/2001,213291
3/31/2001,215604
4/30/2001,218302
5/31/2001,220902
6/30/2001,223575
7/31/2001,226508
8/31/2001,229664
9/30/2001,234100
10/31/2001,238722
11/30/2001,243852
12/31/2001,247745
1/31/2002,250205
2/28/2002,252167
3/31/2002,253952
4/30/2002,257365
5/31/2002,261228
6/30/2002,265643
7/31/2002,271441
8/31/2002,277650
9/30/2002,283219
10/31/2002,287059
11/30/2002,290359
12/31/2002,294365
1/31/2003,297552
2/28/2003,301413
3/31/2003,306817
4/30/2003,313066
5/31/2003,319467
6/30/2003,323870
7/31/2003,328585
8/31/2003,331629
9/30/2003,334766
10/31/2003,336961
11/30/2003,337883
12/31/2003,339800
1/31/2004,341876
2/29/2004,345797
3/31/2004,347601
4/30/2004,350207
5/31/2004,354288
6/30/2004,360130
7/31/2004,368299
8/31/2004,378183
9/30/2004,387349
10/31/2004,395751
11/30/2004,402122
12/31/2004,409369
1/31/2005,413765
2/28/2005,420919
3/31/2005,429036
4/30/2005,438980
5/31/2005,446028
6/30/2005,454202
7/31/2005,460819
8/31/2005,467657
9/30/2005,469689
10/31/2005,473520
11/30/2005,476266
12/31/2005,483189
1/31/2006,488366
2/28/2006,495196
3/31/2006,498987
4/30/2006,501947
5/31/2006,501181
6/30/2006,500503
7/31/2006,497748
8/31/2006,494341
9/30/2006,488572
10/31/2006,485181
11/30/2006,480624
12/31/2006,474799
1/31/2007,468376
2/28/2007,465269
3/31/2007,464928
4/30/2007,464965
5/31/2007,462168
6/30/2007,458990
7/31/2007,452427
8/31/2007,446884
9/30/2007,440633
10/31/2007,438583
11/30/2007,433003
12/31/2007,427091
1/31/2008,418320
2/29/2008,411922
3/31/2008,401814
4/30/2008,388793
5/31/2008,374642
6/30/2008,365693
7/31/2008,358928
8/31/2008,354346
9/30/2008,349866
10/31/2008,343491
11/30/2008,339125
12/31/2008,335592
1/31/2009,334988
2/28/2009,333317
3/31/2009,327700
4/30/2009,324713
5/31/2009,321689
6/30/2009,318897
7/31/2009,312129
8/31/2009,305618
9/30/2009,302571
10/31/2009,301847
11/30/2009,302345
12/31/2009,300256
1/31/2010,299163
2/28/2010,298690
3/31/2010,301018
4/30/2010,302595
5/31/2010,303809
6/30/2010,303722
7/31/2010,303582
8/31/2010,300961
9/30/2010,297935
10/31/2010,295583
11/30/2010,293411
12/31/2010,293157
1/31/2011,290867
2/28/2011,288373
3/31/2011,285560
4/30/2011,282894
5/31/2011,279941
6/30/2011,275979
7/31/2011,273925
8/31/2011,270492
9/30/2011,268209
10/31/2011,265145
11/30/2011,264475
12/31/2011,262098
1/31/2012,261765
2/29/2012,260176
3/31/2012,260354
4/30/2012,259863
5/31/2012,261187
6/30/2012,261741
7/31/2012,261547
8/31/2012,260367
9/30/2012,261533
10/31/2012,264073
11/30/2012,270114
12/31/2012,274757
1/31/2013,278507
2/28/2013,279189
3/31/2013,281206
4/30/2013,284010
5/31/2013,291044
6/30/2013,298806
7/31/2013,307312
8/31/2013,315720
9/30/2013,323697
10/31/2013,332046
11/30/2013,338145
12/31/2013,345013
1/31/2014,353119
2/28/2014,358137
3/31/2014,360787
4/30/2014,361151
5/31/2014,363568
6/30/2014,365978
7/31/2014,364690
8/31/2014,362763
9/30/2014,360232
10/31/2014,358960
11/30/2014,360501
12/31/2014,361916
1/31/2015,365089
2/28/2015,366564
3/31/2015,368755
4/30/2015,370228
5/31/2015,370703
6/30/2015,369873
7/31/2015,370444
8/31/2015,373688
9/30/2015,377262
10/31/2015,380975
11/30/2015,382889
12/31/2015,386636
1/31/2016,391717
2/29/2016,394985
3/31/2016,397127
4/30/2016,397766
5/31/2016,401004
6/30/2016,403604
7/31/2016,407021
8/31/2016,408122
9/30/2016,409893
10/31/2016,410881
11/30/2016,410984
12/31/2016,411440
1/31/2017,412363
2/28/2017,415053
3/31/2017,419228
4/30/2017,422313
5/31/2017,425117
6/30/2017,426718
7/31/2017,427637
8/31/2017,429896
9/30/2017,433168
10/31/2017,436974
11/30/2017,442329
12/31/2017,445767
1/31/2018,449188
2/28/2018,453419
3/31/2018,455239
4/30/2018,457096
5/31/2018,456923
6/30/2018,460596
7/31/2018,465612
8/31/2018,469645
9/30/2018,472622
10/31/2018,474364
11/30/2018,474843
12/31/2018,472363
1/31/2019,468466
2/28/2019,466154
3/31/2019,468500
4/30/2019,472913
5/31/2019,474667
6/30/2019,473344
7/31/2019,472239
8/31/2019,473768
9/30/2019,473978
10/31/2019,470542
11/30/2019,466530
12/31/2019,465191
1/31/2020,469552
2/29/2020,477796
3/31/2020,483289
4/30/2020,484797
5/31/2020,482354
6/30/2020,481436
7/31/2020,481502
8/31/2020,484215
9/30/2020,487313
10/31/2020,493817
11/30/2020,501355
12/31/2020,509539
1/31/2021,515079
2/28/2021,521082
3/31/2021,526316
4/30/2021,533778
5/31/2021,539067
6/30/2021,547900
7/31/2021,560705
8/31/2021,576736
9/30/2021,592074
10/31/2021,601883
11/30/2021,607635
12/31/2021,612596
1/31/2022,615520
2/28/2022,619192
3/31/2022,628608
4/30/2022,641915
